Name,Event,Mode,TP,FP,FN,TN
2_078_1,a video of a person stealing other person,3,0,0,0,0
D068_10,a video of a person stealing other person,3,0,0,0,0
D158_01,a video of a person stealing other person,3,0,0,0,0
2_070_1,a video of a person stealing other person,3,0,0,0,0
D077_03,a video of a person stealing other person,3,0,0,0,0
3_088_1,a video of a person throwing trash in the floor,3,0,0,0,0
20,a video of a person throwing trash in the floor,3,0,0,0,0
13,a video of a person throwing trash in the floor,3,0,0,0,0
1_080_1,a video of a person throwing trash in the floor,3,0,0,0,0
1_076_1,a video of a person throwing trash in the floor,3,0,0,0,0
2_072_1,a video of a person throwing trash in the floor,3,0,0,0,0
3_074_1,a video of a person throwing trash in the floor,3,0,0,0,0
4_103_1,a video of a person throwing trash in the floor,3,0,0,0,0
3_082_1,a video of a person throwing trash in the floor,3,0,0,0,0
14,a video of a person throwing trash in the floor,3,0,0,0,0
D031_07,a video of a person throwing trash in the floor,3,0,0,0,0
2_092_1,a video of a person throwing trash in the floor,3,0,0,0,0
1_074_1,a video of a person throwing trash in the floor,3,0,0,0,0
3_095_1,a video of a person throwing trash in the floor,3,0,0,0,0
3_084_1,a video of a person throwing trash in the floor,3,0,0,0,0
1_086_1,a video of a person throwing trash in the floor,3,0,0,0,0
4_099_1,a video of a person tripping,3,0,0,0,0
4_087_1,a video of a person tripping,3,0,0,0,0
2_081_1,a video of a person tripping,3,0,0,0,0
2_082_1,a video of a person tripping,3,0,0,0,0
4_098_1,a video of a person tripping,3,0,0,0,0
D148_04,a video of a person stealing other person's pocket,3,0,0,0,0
4_085_1,a video of a person stealing other person's pocket,3,0,0,0,0
3_083_1,a video of a person stealing other person's pocket,3,0,0,0,0
D149_05,a video of a person stealing other person's pocket,3,0,0,0,0
1_075_1,a video of a person stealing other person's pocket,3,0,0,0,0
4_086_1,a video of a person stealing other person's pocket,3,0,0,0,0
D158_13,a video of a person stealing other person's pocket,3,0,0,0,0
D149_07,a video of a person stealing other person's pocket,3,0,0,0,0
D149_03,a video of a person stealing other person's pocket,3,0,0,0,0
