Name,Event,Mode,TP,FP,FN,TN
1_076_1,a video of a person throwing trash in the floor,2,0,0,0,23
2_072_1,a video of a person throwing trash in the floor,2,0,0,0,34
3_074_1,a video of a person throwing trash in the floor,2,0,0,0,30
4_103_1,a video of a person throwing trash in the floor,2,0,0,0,9
3_082_1,a video of a person throwing trash in the floor,2,0,0,0,41
14,a video of a person throwing trash in the floor,2,0,0,0,68
D031_07,a video of a person throwing trash in the floor,2,0,0,0,9
2_092_1,a video of a person throwing trash in the floor,2,0,0,0,24
1_074_1,a video of a person throwing trash in the floor,2,0,0,0,38
3_095_1,a video of a person throwing trash in the floor,2,0,0,0,47
3_084_1,a video of a person throwing trash in the floor,2,0,0,0,4
1_086_1,a video of a person throwing trash in the floor,2,0,0,0,47
4_099_1,a video of a person tripping,2,0,0,0,1
4_087_1,a video of a person tripping,2,0,0,0,0
2_081_1,a video of a person tripping,2,0,0,0,0
2_082_1,a video of a person tripping,2,0,0,0,3
4_098_1,a video of a person tripping,2,0,0,0,0
D148_04,a video of a person stealing other person's pocket,2,0,0,0,111
4_085_1,a video of a person stealing other person's pocket,2,0,0,0,4
3_083_1,a video of a person stealing other person's pocket,2,0,0,0,0
D149_05,a video of a person stealing other person's pocket,2,0,0,0,1
1_075_1,a video of a person stealing other person's pocket,2,0,0,0,0
4_086_1,a video of a person stealing other person's pocket,2,0,0,0,11
D158_13,a video of a person stealing other person's pocket,2,0,0,0,0
D149_07,a video of a person stealing other person's pocket,2,0,0,0,1
D149_03,a video of a person stealing other person's pocket,2,1,0,0,4
